,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15,sqft_price,city,state_id,state_name,county_name,view_average,condition_average,grade_average,sqft_price_average,view_std,condition_std,grade_std,sqft_price_std,view_zscore,condition_zscore,grade_zscore,sqft_price_zscore,quality_zscore,zscore_delta
18848,7631800110,2014-09-18,380000.0,3,2.5,1980,17342,2.0,1,4,3,10,1580,400,2014-09-18,2014-09-18,98166,47.4551,-122.373,2060,17313,191.91919191919192,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,2.382818494969844,-1.3888648171924074,3.473725857833298,4.8625906750257055
15401,3999300290,2014-10-16,850000.0,3,3.5,2620,11148,2.0,0,4,4,9,2060,560,2014-10-16,2014-10-16,98008,47.5845,-122.115,2590,10796,324.42748091603056,Bellevue,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,1.1262839831529488,0.39879491297301306,3.5810590060499234,3.1822640930769106
294,9297300045,2014-07-09,550000.0,3,2.0,1970,4166,2.0,0,3,5,8,1270,700,2014-07-09,2014-07-09,98126,47.5717,-122.375,2390,4166,279.18781725888323,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,1.9210574967545322,-0.1302505286639463,-0.21153011301868047,2.576949402363485,2.7884795153821655
16222,2045800006,2014-09-04,439000.0,3,2.25,2230,4551,1.5,0,2,5,8,1450,780,2014-09-04,2014-09-04,98178,47.5078,-122.236,2060,7200,196.8609865470852,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,-1.3221954237686997,1.4655066504604208,2.7877020742291205
13648,5072200040,2014-05-02,403000.0,3,2.0,1960,13100,1.0,0,2,5,8,1650,310,2014-05-02,2014-05-02,98166,47.4419,-122.34,1960,10518,205.6122448979592,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,-1.2041328311522896,1.4655066504604208,2.6696394816127107
13348,9285800330,2014-07-02,732000.0,3,3.75,2670,6517,2.5,0,4,4,8,2020,650,2014-07-02,2014-07-02,98126,47.5702,-122.38,2010,6073,274.1573033707865,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,-0.1302505286639463,-0.2793964115564492,2.3245244942330285,2.6039209057894777
11844,2623039082,2015-02-18,770000.0,3,3.5,2050,21744,2.0,1,4,4,9,1750,300,2015-02-18,2015-02-18,98166,47.4536,-122.376,2300,12200,375.609756097561,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,1.1262839831529488,1.089291280656471,3.5810590060499234,2.4917677253934523
4315,1376800025,2014-09-08,834500.0,3,2.25,2780,6000,1.0,0,3,4,9,1670,1110,2014-09-08,2014-09-08,98199,47.6442,-122.406,2780,6000,300.1798561151079,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,1.1262839831529488,0.07167196287738604,2.4696162541468594,2.3979442912694733
14582,7203600530,2014-05-29,525000.0,3,3.0,2600,5238,1.5,0,3,3,9,1890,710,2014-05-29,2014-05-29,98198,47.3448,-122.327,2220,4853,201.92307692307693,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,1.1262839831529488,-1.2539031291196134,1.105748594113339,2.359651723232952
2528,4477000270,2014-08-22,565000.0,3,2.0,2730,15677,2.5,0,3,3,9,2730,0,2014-08-22,2014-08-22,98166,47.4612,-122.365,2040,12209,206.95970695970695,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,1.1262839831529488,-1.185954318064934,1.105748594113339,2.291702912178273
10382,579002220,2014-08-27,808000.0,3,2.5,2550,6240,1.0,0,3,5,8,1750,800,2014-08-27,2014-08-27,98117,47.6992,-122.387,2180,5200,316.8627450980392,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,1.9210574967545322,-0.1302505286639463,0.29673960991581555,2.576949402363485,2.2802097924476694
12935,3222049044,2014-06-12,835000.0,3,3.0,2790,12523,2.0,1,4,4,8,1600,1190,2014-06-12,2014-06-12,98198,47.3571,-122.324,2990,11476,299.2831541218638,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,-0.1302505286639463,0.05957462122867002,2.3245244942330285,2.2649498730043587
17474,6329000185,2015-03-29,540000.0,3,2.5,2600,23361,1.5,1,4,3,8,2150,450,2015-03-29,2015-03-29,98146,47.4997,-122.379,1700,14700,207.69230769230768,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,-0.1302505286639463,-1.1760708546387986,0.9606568341995078,2.1367276888383064
1755,7784400060,2015-01-02,545000.0,3,2.5,2370,9000,1.0,0,3,4,8,1570,800,2015-01-02,2015-01-02,98146,47.4922,-122.365,2120,9500,229.957805907173,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,-0.1302505286639463,-0.8756886307634726,1.2130817423299642,2.088770373093437
10995,2162000260,2014-08-27,699000.0,3,2.5,2740,18455,2.0,0,1,4,10,1510,1230,2014-08-27,2014-08-27,98040,47.5585,-122.215,2840,16438,255.1094890510949,Mercer Island,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-1.4367430695332288,0.5571898367210116,2.382818494969844,-0.5363690950373544,1.503265262157627,2.0396343571949815
12297,3224500240,2014-06-17,950000.0,3,2.75,2750,18029,1.0,0,2,5,9,1810,940,2014-06-17,2014-06-17,98006,47.5617,-122.134,2850,10021,345.45454545454544,Bellevue,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,1.1262839831529488,0.6824695178121805,2.722041162277316,2.0395716444651355
17431,5592900020,2014-12-02,410000.0,3,3.25,2650,7819,1.0,0,2,4,8,1760,890,2014-12-02,2014-12-02,98056,47.4821,-122.192,2400,7727,154.71698113207546,Renton,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,0.5571898367210116,-0.1302505286639463,-1.8907571486135788,0.10163899042690047,1.9923961390404792
11028,7922900030,2014-10-03,851000.0,3,2.75,2660,10350,1.0,0,4,4,8,1330,1330,2014-10-03,2014-10-03,98008,47.5868,-122.116,2820,10043,319.9248120300752,Bellevue,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,-0.1302505286639463,0.33804973313084313,2.3245244942330285,1.9864747611021853
8504,7987401095,2014-11-13,549950.0,3,2.5,2380,2500,3.0,0,3,3,9,2380,0,2014-11-13,2014-11-13,98126,47.5734,-122.375,2270,5000,231.07142857142858,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,1.1262839831529488,-0.8606648280522571,1.105748594113339,1.966413422165596
8196,6908200650,2014-05-27,732000.0,3,2.5,2330,1987,2.0,0,4,3,9,1410,920,2014-05-27,2014-05-27,98107,47.6735,-122.405,2640,5250,314.16309012875536,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,1.1262839831529488,0.2603187602431971,2.2171913460164028,1.9568725857732057
4429,2011400583,2014-06-06,402000.0,3,2.5,2700,9994,1.0,0,3,4,7,1350,1350,2014-06-06,2014-06-06,98198,47.397,-122.321,2470,10664,148.88888888888889,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,-1.3867850404808415,-1.969383518976588,-0.04345276948693089,1.9259307494896571
15431,7855300460,2014-09-23,1000000.0,3,2.75,2370,8900,1.0,0,4,4,9,1670,700,2014-09-23,2014-09-23,98006,47.5648,-122.156,2840,8956,421.9409282700422,Bellevue,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,0.5571898367210116,1.1262839831529488,1.7143417689778575,3.5810590060499234,1.866717237072066
15554,7893800250,2015-04-03,348000.0,3,2.5,2370,7500,1.0,0,3,3,8,1620,750,2015-04-03,2015-04-03,98198,47.4091,-122.331,1960,8062,146.83544303797467,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,-0.1302505286639463,-1.9970864082338948,-0.15078591770355612,1.8463004905303386
14424,3543900418,2014-05-15,580050.0,3,2.5,2360,4638,2.0,0,3,3,9,2360,0,2014-05-15,2014-05-15,98115,47.6837,-122.321,1620,4638,245.78389830508473,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,1.1262839831529488,-0.6621799644014846,1.105748594113339,1.7679285585148237
6951,3123049142,2014-08-05,452000.0,3,2.25,2600,14810,1.0,0,2,4,8,1490,1110,2014-08-05,2014-08-05,98166,47.4326,-122.341,2450,16715,173.84615384615384,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,0.5571898367210116,-0.1302505286639463,-1.6326868649262472,0.10163899042690047,1.7343258553531475
11556,2013802030,2014-09-11,357000.0,3,2.0,2460,53882,1.0,1,4,3,7,2460,0,2014-09-11,2014-09-11,98198,47.3811,-122.325,2660,32625,145.1219512195122,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,-1.3867850404808415,-2.0202030022599966,-0.2958776776173875,1.7243253246426091
10252,3342100160,2014-10-09,510000.0,3,3.0,1845,5100,2.0,0,2,5,8,1845,0,2014-10-09,2014-10-09,98056,47.5204,-122.208,2100,7650,276.4227642276423,Renton,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,-0.24883324320881658,1.4655066504604208,1.7143398936692373
12901,9808630120,2015-01-08,770000.0,3,2.5,2190,2658,2.0,0,3,4,9,2190,0,2015-01-08,2015-01-08,98033,47.6528,-122.203,2315,2538,351.5981735159817,Kirkland,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,1.1262839831529488,0.7653527590470433,2.4696162541468594,1.7042634950998161
17064,3013300660,2014-10-28,550000.0,3,2.25,2090,8095,2.0,0,2,3,10,2090,0,2014-10-28,2014-10-28,98136,47.5287,-122.385,1940,5635,263.1578947368421,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,-0.8066778233125089,2.382818494969844,-0.4277886368232429,1.2508403540271704,1.6786289908504133
18248,9388100015,2014-11-19,740000.0,3,2.5,2710,18480,2.0,0,2,3,10,2000,710,2014-11-19,2014-11-19,98034,47.7256,-122.259,2710,18077,273.0627306273063,Kirkland,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,-0.8066778233125089,2.382818494969844,-0.29416321316614297,1.2508403540271704,1.5450035671933133
5125,3741600020,2014-09-15,540000.0,3,2.25,2100,20018,1.0,0,4,3,8,1470,630,2014-09-15,2014-09-15,98166,47.4544,-122.366,2410,17196,257.14285714285717,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,-0.1302505286639463,-0.5089370733746685,0.9606568341995078,1.4695939075741764
3347,464000600,2014-08-27,641250.0,3,2.5,2220,2550,3.0,0,2,3,10,2220,0,2014-08-27,2014-08-27,98117,47.6963,-122.393,2200,5610,288.85135135135135,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,-0.8066778233125089,2.382818494969844,-0.08116007444246687,1.2508403540271704,1.3320004284696374
6558,56000095,2014-06-26,805000.0,3,2.75,2600,5875,1.5,0,2,5,8,1600,1000,2014-06-26,2014-06-26,98116,47.5773,-122.406,2260,5492,309.61538461538464,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,0.19896599452226893,1.4655066504604208,1.2665406559381518
11269,6909700340,2014-08-02,619000.0,3,2.0,1990,3000,1.5,0,2,5,8,1430,560,2014-08-02,2014-08-02,98144,47.5891,-122.293,1780,5000,311.05527638190955,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,0.21839147006270654,1.4655066504604208,1.2471151803977143
15322,3585900305,2014-10-03,999000.0,3,2.5,2710,23292,1.0,0,4,3,9,2080,630,2014-10-03,2014-10-03,98177,47.7608,-122.374,2430,20000,368.6346863468635,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,1.1262839831529488,0.9951911198075568,2.2171913460164028,1.2220002262088459
8586,4055701110,2014-06-12,795000.0,3,2.0,2420,17859,1.0,0,1,5,9,1500,920,2014-06-12,2014-06-12,98034,47.7074,-122.246,2955,17859,328.5123966942149,Kirkland,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-1.4367430695332288,1.9210574967545322,1.1262839831529488,0.45390421589331326,1.610598410374252,1.1566941944809388
60,1516000055,2014-12-01,650000.0,3,2.25,2150,21235,1.0,0,3,4,8,1590,560,2014-12-01,2014-12-01,98166,47.4336,-122.339,2570,18900,302.3255813953488,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,-0.1302505286639463,0.10061978723255621,1.2130817423299642,1.112461955097408
17287,1250201640,2014-05-07,775000.0,3,2.0,2540,7200,1.5,0,3,4,8,1600,940,2014-05-07,2014-05-07,98144,47.5972,-122.292,2040,5900,305.11811023622045,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,-0.1302505286639463,0.13829359158053042,1.2130817423299642,1.074788150749434
2768,3756100160,2014-09-23,678000.0,3,2.75,2770,10000,1.0,0,1,5,8,1640,1130,2014-09-23,2014-09-23,98033,47.7011,-122.206,2450,10000,244.76534296028882,Kirkland,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-1.4367430695332288,1.9210574967545322,-0.1302505286639463,-0.6759212207909611,0.3540638985573571,1.0299851193483183
14155,1722049154,2014-07-07,538250.0,3,2.25,2590,15229,2.0,0,3,3,8,2590,0,2014-07-07,2014-07-07,98198,47.3948,-122.325,2590,15229,207.81853281853282,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,-0.1302505286639463,-1.1743679606025388,-0.15078591770355612,1.0235820428989826
6887,7129301578,2014-05-21,495000.0,3,3.5,2380,6250,2.0,0,3,3,8,1670,710,2014-05-21,2014-05-21,98118,47.5137,-122.252,2540,4010,207.98319327731093,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,-0.1302505286639463,-1.172146538278421,-0.15078591770355612,1.0213606205748649
9195,7935000625,2015-04-09,975000.0,3,2.5,2530,7000,2.5,0,4,3,9,2530,0,2015-04-09,2015-04-09,98136,47.5465,-122.398,2380,7000,385.37549407114625,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,1.897585186175963,-0.8066778233125089,1.1262839831529488,1.2210401443908907,2.2171913460164028,0.9961512016255121
15734,6758700050,2015-04-01,812000.0,3,2.0,1970,3420,2.0,0,3,5,8,1970,0,2015-04-01,2015-04-01,98103,47.6762,-122.354,1770,3420,412.1827411167513,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,1.9210574967545322,-0.1302505286639463,1.582694772813173,2.576949402363485,0.9942546295503121
4576,7203600750,2015-04-27,421000.0,3,2.5,1930,4505,1.0,0,3,4,7,1440,490,2015-04-27,2015-04-27,98198,47.3459,-122.326,1550,4505,218.13471502590673,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,-1.3867850404808415,-1.035193093575078,-0.04345276948693089,0.991740324088147
18001,4036400110,2015-01-29,300000.0,3,2.75,2340,12282,1.0,0,2,3,8,1470,870,2015-01-29,2015-01-29,98155,47.7379,-122.289,2640,8887,128.2051282051282,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,-0.8066778233125089,-0.1302505286639463,-2.2484266363744734,-1.26222866960662,0.9861979667678533
5180,9285800275,2014-08-14,835000.0,3,2.25,2520,6690,2.0,0,2,5,8,1700,820,2014-08-14,2014-08-14,98126,47.5705,-122.381,1990,5792,331.3492063492063,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,0.49217540949761407,1.4655066504604208,0.9733312409628068
18651,2024059059,2014-10-01,693000.0,3,2.25,2090,45535,1.0,0,2,5,8,1280,810,2014-10-01,2014-10-01,98006,47.5538,-122.191,3090,12889,331.57894736842104,Bellevue,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,1.9210574967545322,-0.1302505286639463,0.4952748289492312,1.4655066504604208,0.9702318215111896
16438,1102000759,2014-10-26,755000.0,3,2.5,2420,8856,1.0,0,3,3,9,1620,800,2014-10-26,2014-10-26,98118,47.5405,-122.263,2650,9750,311.9834710743802,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,1.1262839831529488,0.23091367743588173,1.105748594113339,0.8748349166774572
18097,1455600062,2014-10-21,689000.0,3,2.5,2080,9612,1.0,0,3,4,8,1700,380,2014-10-21,2014-10-21,98125,47.7293,-122.283,2560,10202,331.25,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,-0.1302505286639463,0.49083702382532524,1.2130817423299642,0.722244718504639
6872,7558300170,2014-12-12,439000.0,3,2.25,1830,13477,1.0,0,3,4,7,1170,660,2014-12-12,2014-12-12,98034,47.7243,-122.21,1960,11344,239.89071038251367,Kirkland,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,0.5571898367210116,-1.3867850404808415,-0.7416845358606243,-0.04345276948693089,0.6982317663736934
3771,3222049112,2015-05-07,449900.0,3,2.5,2780,8225,2.0,0,1,3,9,2780,0,2015-05-07,2015-05-07,98198,47.3509,-122.323,720,9736,161.83453237410072,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-1.4367430695332288,-0.8066778233125089,1.1262839831529488,-1.7947347802841456,-1.117136909692789,0.6775978705913566
12929,4321200970,2014-06-01,555000.0,3,2.0,2180,4976,1.5,0,2,4,8,1680,500,2014-06-01,2014-06-01,98126,47.573,-122.38,1850,5000,254.58715596330276,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-0.32530031763016487,0.5571898367210116,-0.1302505286639463,-0.543415852895659,0.10163899042690047,0.6450548433225595
18009,7203600745,2014-10-14,550000.0,3,2.75,2330,4780,2.0,0,3,3,8,1730,600,2014-10-14,2014-10-14,98198,47.3459,-122.326,1100,5336,236.05150214592274,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,0.7861424342728991,-0.8066778233125089,-0.1302505286639463,-0.7934790161322453,-0.15078591770355612,0.6426930984286892
16622,930000470,2014-05-27,675000.0,3,2.5,2540,7680,2.0,0,1,4,9,2540,0,2014-05-27,2014-05-27,98177,47.7175,-122.364,2490,7680,265.748031496063,Seattle,WA,Washington,King,2.292682926829268,3.591463414634146,8.103658536585366,294.8672515910643,0.8997314511141069,0.7332089683653196,0.795839661064337,74.12388765091052,-1.4367430695332288,0.5571898367210116,1.1262839831529488,-0.3928452893909109,0.24673075034073155,0.6395760397316425
